player_id,lnr_id,lnr_slug,photo_url,name,team,team_code,position_group,position_raw,season,matches_played,minutes_total,minutes_avg,tackles_per80,tackle_success_pct,penalties_per80,turnovers_won_per80,turnovers_lost_per80,carries_per80,meters_per80,line_breaks_per80,offloads_per80,passes_per80,kick_meters_per80,points_scored_per80,errors_per80,ruck_arrivals_per80,lineout_wins_per80,scrum_success_pct,_source,age,height_cm,weight_kg,nationality,_h_global_norm,_w_global_norm,rating_raw,rating,confidence,axis_att,axis_ctrl,axis_kick,axis_def,axis_pow,axis_gabarit,kick_points_per80,form_score,form_trend,form_matches,form_scores_list,axis_disc,age_factor,position_label,position_abbr,confidence_score,confidence_badge,low_sample,minutes_bucket,data_insufficient,rank_position,rating_percentile_position,rating_intl,team_intl,matches_intl,cluster_intl,axis_course_intl,axis_distrib_intl,axis_kicking_intl,axis_physique_intl,axis_rigueur_intl,axis_danger_intl,axis_melee_intl,intl_bonus
lnr_694,694,cristian-ojovan,https://cdn.lnr.fr/joueur/694-cristian-ojovan/photo/photoFull.b5e9990d9a31ede8327da9bafe6aeb896ea144f3,C. Ojovan,Clermont,CLR,FRONT_ROW,1ère ligne,2021-2022,22,943.0,42.9,7.8,,,0.0,,,,0.0,0.08,,,0.0,,,,,lnr,25.0,183.0,120.0,Moldavie,93.36734693877551,96.0,64.1,64.0,1.0,0,8,0,35,30,93,,36.9,↘,5,"[57.5, 33.6, 46.9, 30.9, 46.9]",100,1.26,1ère Ligne,1L,100,Haute,False,Bonne,False,58,20.8,,,,,,,,,,,,0.0
lnr_667,667,etienne-falgoux,https://cdn.lnr.fr/joueur/667-etienne-falgoux/photo/photoFull.b5e9990d9a31ede8327da9bafe6aeb896ea144f3,Etienne Falgoux,Clermont,CLR,FRONT_ROW,1ère ligne,2021-2022,20,857.0,42.9,6.63,,,0.65,,,,0.0,0.09,,,0.0,,,,,lnr,29.0,183.0,105.0,France,93.36734693877551,84.0,68.8,66.7,1.0,0,9,0,22,54,84,,25.6,↘,5,"[50.4, 14.1, 14.7, 23.6, 37.7]",100,2.96,1ère Ligne,1L,100,Haute,False,Bonne,False,46,36.1,,,,,,,,,,,,0.0
lnr_687,687,paul-jedrasiak,https://cdn.lnr.fr/joueur/687-paul-jedrasiak/photo/photoFull.50e0d211418fb8267083232d5e5561b6e88fe79f,Paul Jedrasiak,Clermont,CLR,LOCK,2ème ligne,2021-2022,19,770.0,40.5,8.83,,,0.1,,,,0.1,0.52,,,0.52,,,,,lnr,29.0,,121.0,France,0.0,96.8,59.0,61.7,1.0,29,37,43,42,34,14,,46.8,↗,5,"[11.8, 50.0, 45.6, 60.9, 65.3]",100,2.96,2ème Ligne,2L,100,Haute,False,Moyenne,False,23,33.8,77.7,France,10,cluster_1,73.3,76.2,50.0,84.1,79.4,61.0,82.4,0.2700000000000003
lnr_661,661,lucas-dessaigne,https://cdn.lnr.fr/joueur/661-lucas-dessaigne/photo/photoFull.b5e9990d9a31ede8327da9bafe6aeb896ea144f3,Lucas Dessaigne,Clermont,CLR,BACK_ROW,3ème ligne,2021-2022,17,645.0,37.9,14.51,,,0.37,,,,0.12,0.5,,,1.24,,,,,lnr,23.0,188.0,96.0,France,95.91836734693877,76.8,74.4,77.2,1.0,27,50,89,89,42,87,,80.8,↗,5,"[88.9, 80.0, 100, 68.7, 66.4]",100,-0.16,3ème Ligne,3L,100,Haute,False,Moyenne,False,1,100.0,,,,,,,,,,,,0.0
lnr_677,677,yohan-beheregaray,https://cdn.lnr.fr/joueur/677-yohan-beheregaray/photo/photoFull.df70eb994b7734bdf40e01b850e18c98079124f9,Y. Beheregaray,Clermont,CLR,FRONT_ROW,1ère ligne,2021-2022,16,623.0,38.9,8.22,,,0.26,,,,0.0,0.26,,,3.85,,,,,lnr,,,,,0.0,0.0,54.1,54.1,1.0,0,25,100,39,40,0,,50.0,→,0,[],100,0.0,1ère Ligne,1L,100,Haute,False,Moyenne,False,69,5.6,,,,,,,,,,,,0.0
lnr_669,669,sebastien-bezy,https://cdn.lnr.fr/joueur/669-sebastien-bezy/photo/photoFull.b5e9990d9a31ede8327da9bafe6aeb896ea144f3,S. Bezy,Clermont,CLR,SCRUM_HALF,Demi de mêlée,2021-2022,16,831.0,51.9,5.68,,,0.19,,,,0.39,0.77,,,1.93,,,,,lnr,30.0,174.0,76.0,France,88.77551020408163,60.8,77.8,73.8,1.0,74,62,23,40,54,86,1.93,25.1,↘,5,"[100, 50.4, 58.8, 9.8, 0]",100,2.61,Demi de mêlée,9,100,Haute,False,Bonne,False,8,65.0,68.2,France,8,cluster_1,52.1,60.8,50.0,80.4,97.6,50.7,95.1,0.0
lnr_711,711,thibaud-lanen,https://cdn.lnr.fr/joueur/711-thibaud-lanen/photo/photoFull.b5e9990d9a31ede8327da9bafe6aeb896ea144f3,Thibaud Lanen,Clermont,CLR,LOCK,2ème ligne,2021-2022,16,862.0,53.9,8.63,,,0.09,,,,0.0,0.19,,,0.46,,,,,lnr,24.0,198.0,109.0,France,100.0,87.2,65.5,67.6,1.0,0,14,38,40,34,97,,58.9,↘,5,"[24.7, 100, 70.1, 65.3, 63.3]",100,0.5,2ème Ligne,2L,100,Haute,False,Bonne,False,14,61.8,,,,,,,,,,,,0.0
lnr_336,336,tani-vili,https://cdn.lnr.fr/joueur/336-tani-vili/photo/photoFull.0d105085f705532550693973c5545a1d4e020463,Tani Vili,Clermont,CLR,CENTRE,Centre,2021-2022,16,840.0,52.5,4.95,,,0.29,,,,0.38,0.38,,,1.43,,,,,lnr,21.0,187.0,109.0,France,95.40816326530613,87.2,65.5,63.7,1.0,37,23,46,34,53,97,,29.5,↗,5,"[28.8, 30.1, 47.8, 36.7, 25.3]",100,-1.03,Centre,CTR,100,Haute,False,Bonne,False,16,46.4,,,,,,,,,,,,0.0
lnr_662,662,giorgi-beria,https://cdn.lnr.fr/joueur/662-giorgi-beria/photo/photoFull.746d583d9f8a2aa9c322b15ebadc8acc096151d2,Giorgi Beria,Clermont,CLR,FRONT_ROW,1ère ligne,2021-2022,13,471.0,36.2,13.08,,,0.68,,,,0.0,0.0,,,0.85,,,,,lnr,22.0,175.0,108.0,France,89.28571428571429,86.4,79.8,76.3,0.75,0,0,40,91,55,85,,55.9,↗,5,"[77.7, 30.3, 96.8, 100, 27.6]",100,-0.67,1ère Ligne,1L,75,Haute,False,Moyenne,False,9,88.9,,,,,,,,,,,,0.0
lnr_709,709,george-moala,https://cdn.lnr.fr/joueur/709-george-moala/photo/photoFull.b5e9990d9a31ede8327da9bafe6aeb896ea144f3,George Moala,Clermont,CLR,CENTRE,Centre,2021-2022,13,924.0,71.1,5.28,,,0.09,,,,0.26,0.61,,,3.03,,,,,lnr,31.0,188.0,99.0,Nouvelle Zélande,95.91836734693877,79.2,64.9,61.2,1.0,25,36,97,39,37,91,,7.6,↘,4,"[21.6, 12.4, 9.8, 0]",100,2.0,Centre,CTR,100,Haute,False,Bonne,False,21,26.8,,,,,,,,,,,,0.0
