player_id,lnr_id,lnr_slug,photo_url,name,team,team_code,position_group,position_raw,season,matches_played,minutes_total,minutes_avg,tackles_per80,tackle_success_pct,penalties_per80,turnovers_won_per80,turnovers_lost_per80,carries_per80,meters_per80,line_breaks_per80,offloads_per80,passes_per80,kick_meters_per80,points_scored_per80,errors_per80,ruck_arrivals_per80,lineout_wins_per80,scrum_success_pct,_source,age,height_cm,weight_kg,nationality,axis_consistency,n_matches_consistency,_h_global_norm,_w_global_norm,rating_raw,rating,confidence,axis_att,axis_ctrl,axis_kick,axis_def,axis_pow,axis_gabarit,kick_points_per80,form_score,form_trend,form_matches,form_scores_list,axis_disc,age_factor,position_label,position_abbr,confidence_score,confidence_badge,low_sample,minutes_bucket,data_insufficient,rank_position,rating_percentile_position,rating_intl,team_intl,matches_intl,cluster_intl,axis_course_intl,axis_distrib_intl,axis_kicking_intl,axis_physique_intl,axis_rigueur_intl,axis_danger_intl,axis_melee_intl,intl_bonus,meters_run_intl,clean_breaks_intl,defenders_beaten_intl,passes_intl,runs_intl,lineouts_won_intl,missed_tackles_intl,tackles_intl,turnovers_conceded_intl,penalties_conceded_intl,offloads_intl
lnr_11297,11297,baptiste-jauneau,https://cdn.lnr.fr/joueur/11297-baptiste-jauneau/photo/photoFull.b5e9990d9a31ede8327da9bafe6aeb896ea144f3,B. Jauneau,Clermont,CLR,SCRUM_HALF,Demi de mêlée,2023-2024,22,898.0,40.8,8.55,,,0.09,,,,0.53,1.16,,,1.78,,,,,lnr,20.0,178.0,81.0,France,27.9,16.0,91.28205128205128,63.28125,64.8,62.7,1.0,59,89,55,75,40,89,1.78,26.1,↘,5,"[49.0, 38.3, 49.5, 24.7, 13.4]",100,-1.25,Demi de mêlée,9,100,Haute,False,Bonne,False,12,56.0,,,,,,,,,,,,0.0,,,,,,,,,,,
lnr_11554,11554,killian-tixeront,https://cdn.lnr.fr/joueur/11554-killian-tixeront/photo/photoFull.b5e9990d9a31ede8327da9bafe6aeb896ea144f3,Killian Tixeront,Clermont,CLR,BACK_ROW,3ème ligne,2023-2024,22,999.0,45.4,10.73,,,0.0,,,,0.16,0.24,,,0.4,,,,,lnr,22.0,196.0,107.0,France,92.7,15.0,100.0,83.59375,58.1,59.6,1.0,33,21,22,44,30,94,,44.1,↘,5,"[46.7, 100, 55.7, 64.2, 15.8]",100,-0.67,3ème Ligne,3L,100,Haute,False,Bonne,False,41,16.7,,,,,,,,,,,,0.0,,,,,,,,,,,
lnr_662,662,giorgi-beria,https://cdn.lnr.fr/joueur/662-giorgi-beria/photo/photoFull.746d583d9f8a2aa9c322b15ebadc8acc096151d2,Giorgi Beria,Clermont,CLR,FRONT_ROW,1ère ligne,2023-2024,20,847.0,42.4,9.92,,,0.38,,,,0.09,0.76,,,0.94,,,,,lnr,24.0,175.0,108.0,France,61.5,10.0,89.74358974358975,84.375,72.8,73.0,1.0,41,90,39,39,53,83,,55.9,↗,5,"[77.7, 30.3, 96.8, 100, 27.6]",100,0.5,1ère Ligne,1L,100,Haute,False,Bonne,False,18,84.7,,,,,,,,,,,,0.0,,,,,,,,,,,
lnr_2709,2709,leon-darricarrere,https://cdn.lnr.fr/joueur/2709-leon-darricarrere/photo/photoFull.b5e9990d9a31ede8327da9bafe6aeb896ea144f3,L. Darricarrere,Clermont,CLR,CENTRE,Centre,2023-2024,17,861.0,50.6,4.92,,,0.0,,,,0.37,0.46,,,1.39,,,,,lnr,19.0,187.0,98.0,France,54.5,12.0,95.8974358974359,76.5625,61.8,59.4,1.0,45,49,62,25,30,90,,18.3,↘,5,"[43.2, 28.8, 15.6, 25.8, 7.4]",100,-1.38,Centre,CTR,100,Haute,False,Bonne,False,29,17.6,,,,,,,,,,,,0.0,,,,,,,,,,,
lnr_661,661,lucas-dessaigne,https://cdn.lnr.fr/joueur/661-lucas-dessaigne/photo/photoFull.b5e9990d9a31ede8327da9bafe6aeb896ea144f3,Lucas Dessaigne,Clermont,CLR,BACK_ROW,3ème ligne,2023-2024,17,812.0,47.8,11.63,,,0.3,,,,0.1,0.1,,,0.99,,,,,lnr,25.0,188.0,96.0,France,100.0,7.0,96.4102564102564,75.0,65.4,70.3,1.0,20,9,54,59,43,87,,80.8,↗,5,"[88.9, 80.0, 100, 68.7, 66.4]",100,1.26,3ème Ligne,3L,100,Haute,False,Bonne,False,18,63.5,,,,,,,,,,,,0.0,,,,,,,,,,,
lnr_667,667,etienne-falgoux,https://cdn.lnr.fr/joueur/667-etienne-falgoux/photo/photoFull.b5e9990d9a31ede8327da9bafe6aeb896ea144f3,Etienne Falgoux,Clermont,CLR,FRONT_ROW,1ère ligne,2023-2024,17,793.0,46.6,6.96,,,0.61,,,,0.0,0.1,,,0.5,,,,,lnr,31.0,183.0,105.0,France,89.6,8.0,93.84615384615384,82.03125,65.6,64.0,1.0,0,12,21,0,67,82,,25.6,↘,5,"[50.4, 14.1, 14.7, 23.6, 37.7]",100,2.0,1ère Ligne,1L,100,Haute,False,Moyenne,False,80,28.8,,,3.0,,,,,,,,,0.0,1.667,0.0,0.0,0.333,1.0,0.0,0.333,10.0,0.333,0.0,0.333
lnr_694,694,cristian-ojovan,https://cdn.lnr.fr/joueur/694-cristian-ojovan/photo/photoFull.b5e9990d9a31ede8327da9bafe6aeb896ea144f3,C. Ojovan,Clermont,CLR,FRONT_ROW,1ère ligne,2023-2024,17,555.0,32.6,10.95,,,0.14,,,,0.0,0.0,,,0.0,,,,,lnr,27.0,183.0,120.0,Moldavie,86.5,18.0,93.84615384615384,93.75,69.8,68.9,0.962,0,0,5,53,38,91,,36.9,↘,5,"[57.5, 33.6, 46.9, 30.9, 46.9]",100,2.61,1ère Ligne,1L,96,Haute,False,Moyenne,False,47,58.6,,,,,,,,,,,,0.0,,,,,,,,,,,
lnr_685,685,julien-heriteau,https://cdn.lnr.fr/joueur/685-julien-heriteau/photo/photoFull.66c8481f41dae2c760111c9de7f76f50fdc806b3,Julien Heriteau,Clermont,CLR,CENTRE,Centre,2023-2024,16,860.0,53.8,5.21,,,0.0,,,,0.37,0.47,,,0.47,,,,,lnr,,,,,,,0.0,0.0,58.4,58.4,1.0,45,51,21,31,30,0,,50.0,→,0,[],100,0.0,Centre,CTR,100,Haute,False,Bonne,False,32,7.4,,,,,,,,,,,,0.0,,,,,,,,,,,
lnr_708,708,daniel-bibi-biziwu,https://cdn.lnr.fr/joueur/708-daniel-bibi-biziwu/photo/photoFull.b948a9307d0771aeee5c40d614c45938eb2eb700,D. Bibi Biziwu,Clermont,CLR,FRONT_ROW,1ère ligne,2023-2024,14,423.0,30.2,6.43,,,0.0,,,,0.0,0.0,,,0.0,,,,,lnr,22.0,183.0,119.0,France,97.6,8.0,93.84615384615384,92.96875,54.0,57.2,0.852,0,0,5,0,30,91,,36.0,↘,5,"[29.8, 65.3, 12.9, 72.6, 26.8]",100,-0.67,1ère Ligne,1L,85,Haute,False,Moyenne,False,108,3.6,,,,,,,,,,,,0.0,,,,,,,,,,,
lnr_657,657,etienne-fourcade,https://cdn.lnr.fr/joueur/657-etienne-fourcade/photo/photoFull.b5e9990d9a31ede8327da9bafe6aeb896ea144f3,Etienne Fourcade,Clermont,CLR,FRONT_ROW,1ère ligne,2023-2024,14,656.0,46.9,8.66,,,0.12,,,,0.12,0.37,,,1.22,,,,,lnr,27.0,180.0,103.0,France,91.4,14.0,92.3076923076923,80.46875,65.8,65.5,1.0,55,44,51,22,37,81,,36.1,↗,5,"[45.4, 19.9, 54.3, 43.2, 39.3]",100,2.61,1ère Ligne,1L,100,Haute,False,Moyenne,False,71,36.5,,,,,,,,,,,,0.0,,,,,,,,,,,
