player_id,lnr_id,lnr_slug,photo_url,name,team,team_code,position_group,position_raw,season,matches_played,minutes_total,minutes_avg,yellow_cards,orange_cards,red_cards,tackles_per80,tackle_success_pct,penalties_per80,turnovers_won_per80,turnovers_lost_per80,carries_per80,meters_per80,line_breaks_per80,offloads_per80,passes_per80,kick_meters_per80,points_scored_per80,tries_per80,errors_per80,ruck_arrivals_per80,lineout_wins_per80,scrum_success_pct,_source,age,height_cm,weight_kg,nationality,axis_consistency,n_matches_consistency,_h_global_norm,_w_global_norm,rating_raw,rating,confidence,axis_att,axis_ctrl,axis_kick,axis_def,axis_pow,axis_gabarit,kick_points_per80,form_score,form_trend,form_matches,form_scores_list,form_score_10,form_trend_10,form_matches_10,axis_disc,age_factor,position_label,position_abbr,confidence_score,confidence_badge,low_sample,minutes_bucket,data_insufficient,rank_position,rating_percentile_position,rating_intl,team_intl,matches_intl,cluster_intl,axis_course_intl,axis_distrib_intl,axis_kicking_intl,axis_physique_intl,axis_rigueur_intl,axis_danger_intl,axis_melee_intl,intl_bonus
lnr_862,862,barnabe-massa,https://cdn.lnr.fr/joueur/862-barnabe-massa/photo/photoFull.b5e9990d9a31ede8327da9bafe6aeb896ea144f3,B. Massa,Clermont,CLR,FRONT_ROW,1ère ligne,2025-2026,17,855.0,50.3,1,0,0,10.39,,,0.56,,,,0.19,0.37,,,2.81,0.56,,,,,lnr,21.0,180.0,101.0,France,42.3,18.0,91.83673469387756,77.6923076923077,60.6,62.4,1.0,75,42,95,42,92,31,,54.5,↗,5,"[43.4, 37.1, 76.4, 60.7, 62.5]",56.2,↗,10,80,-1.03,1ère Ligne,1L,100,Haute,False,Bonne,False,101,36.0,,,,,,,,,,,,0.0
lnr_694,694,cristian-ojovan,https://cdn.lnr.fr/joueur/694-cristian-ojovan/photo/photoFull.b5e9990d9a31ede8327da9bafe6aeb896ea144f3,C. Ojovan,Clermont,CLR,FRONT_ROW,1ère ligne,2025-2026,17,743.0,43.7,1,0,0,10.12,,,0.11,,,,0.0,0.11,,,0.0,0.0,,,,,lnr,29.0,183.0,120.0,Moldavie,86.5,18.0,93.36734693877551,92.3076923076923,59.9,60.8,1.0,0,12,5,39,7,67,,39.1,↘,5,"[59.0, 34.5, 48.1, 31.7, 48.1]",46.3,↘,10,80,2.96,1ère Ligne,1L,100,Haute,False,Moyenne,False,117,25.5,,,,,,,,,,,,0.0
lnr_11554,11554,killian-tixeront,https://cdn.lnr.fr/joueur/11554-killian-tixeront/photo/photoFull.b5e9990d9a31ede8327da9bafe6aeb896ea144f3,Killian Tixeront,Clermont,CLR,BACK_ROW,3ème ligne,2025-2026,16,931.0,58.2,0,0,0,9.71,,,0.0,,,,0.34,0.09,,,0.86,0.17,,,,,lnr,24.0,196.0,107.0,France,92.7,15.0,100.0,82.3076923076923,55.6,57.6,1.0,62,10,39,22,23,93,,41.6,↘,5,"[57.1, 65.8, 16.2, 47.7, 49.8]",46.7,↘,10,100,0.5,3ème Ligne,3L,100,Haute,False,Bonne,False,85,10.6,,,,,,,,,,,,0.0
lnr_184,184,giorgi-akhaladze,https://cdn.lnr.fr/joueur/184-giorgi-akhaladze/photo/photoFull.b5e9990d9a31ede8327da9bafe6aeb896ea144f3,Giorgi Akhaladze,Clermont,CLR,FRONT_ROW,1ère ligne,2025-2026,15,736.0,49.1,1,0,0,9.13,,,0.0,,,,0.0,0.22,,,2.17,0.43,,,,,lnr,27.0,186.0,128.0,Géorgie,93.8,15.0,94.89795918367348,98.46153846153847,61.4,60.9,1.0,0,25,78,27,46,85,,30.4,→,5,"[24.2, 18.8, 41.5, 46.6, 28.9]",32.5,→,10,80,2.61,1ère Ligne,1L,100,Haute,False,Moyenne,False,115,27.1,,,,,,,,,,,,0.0
lnr_2655,2655,thomas-ceyte,https://cdn.lnr.fr/joueur/2655-thomas-ceyte/photo/photoFull.b5e9990d9a31ede8327da9bafe6aeb896ea144f3,Thomas Ceyte,Clermont,CLR,LOCK,2ème ligne,2025-2026,15,961.0,64.1,2,0,0,9.07,,,0.17,,,,0.25,1.91,,,0.0,0.0,,,,,lnr,,,,,76.9,16.0,0.0,0.0,56.8,57.6,1.0,91,95,5,22,12,0,,41.0,↗,5,"[44.4, 40.4, 49.0, 49.8, 42.0]",43.4,↗,10,60,0.0,2ème Ligne,2L,100,Haute,False,Bonne,False,50,28.3,,,,,,,,,,,,0.0
lnr_11297,11297,baptiste-jauneau,https://cdn.lnr.fr/joueur/11297-baptiste-jauneau/photo/photoFull.b5e9990d9a31ede8327da9bafe6aeb896ea144f3,B. Jauneau,Clermont,CLR,SCRUM_HALF,Demi de mêlée,2025-2026,15,849.0,56.6,0,0,0,7.54,,,0.28,,,,0.75,0.94,,,2.83,0.57,,,,,lnr,22.0,178.0,81.0,France,27.9,16.0,90.81632653061224,62.30769230769231,74.1,71.4,1.0,74,49,5,80,94,74,0.0,35.5,→,5,"[50.8, 25.4, 13.7, 58.5, 40.5]",36.1,→,10,100,-0.67,Demi de mêlée,9,100,Haute,False,Bonne,False,4,92.5,,,,,,,,,,,,0.0
lnr_5847,5847,robert-simmons-1,https://cdn.lnr.fr/joueur/5847-robert-simmons-1/photo/photoFull.b5e9990d9a31ede8327da9bafe6aeb896ea144f3,Robert Simmons,Clermont,CLR,LOCK,2ème ligne,2025-2026,15,778.0,51.9,0,1,0,9.15,,,0.31,,,,0.1,0.51,,,0.0,0.0,,,,,lnr,36.0,,115.0,Australie,97.4,15.0,0.0,88.46153846153845,51.5,62.6,1.0,36,43,5,23,21,9,,39.1,→,5,"[30.0, 29.6, 60.7, 42.3, 43.0]",39.3,→,10,70,-1.03,2ème Ligne,2L,100,Haute,False,Moyenne,False,63,10.1,73.6,Australie,67,cluster_1,66.3,54.0,50.0,87.1,78.1,57.8,87.3,0.0
lnr_2446,2446,selevasio-tolofua,https://cdn.lnr.fr/joueur/2446-selevasio-tolofua/photo/photoFull.b5e9990d9a31ede8327da9bafe6aeb896ea144f3,S. Tolofua,Clermont,CLR,CENTRE,Centre,2025-2026,15,865.0,57.7,0,0,0,11.38,,,0.09,,,,0.09,1.57,,,0.92,0.18,,,,,lnr,28.0,186.0,116.0,France,61.3,15.0,94.89795918367348,89.23076923076924,77.1,77.1,1.0,9,95,23,95,25,97,,57.0,↗,5,"[55.7, 49.0, 100, 70.5, 43.4]",56.9,↗,10,100,2.96,Centre,CTR,100,Haute,False,Bonne,False,3,97.3,,,,,,,,,,,,0.0
lnr_657,657,etienne-fourcade,https://cdn.lnr.fr/joueur/657-etienne-fourcade/photo/photoFull.b5e9990d9a31ede8327da9bafe6aeb896ea144f3,Etienne Fourcade,Clermont,CLR,FRONT_ROW,1ère ligne,2025-2026,14,443.0,31.6,1,0,0,8.49,,,0.36,,,,0.18,0.18,,,1.81,0.36,,,,,lnr,29.0,180.0,103.0,France,91.4,14.0,91.83673469387756,79.23076923076923,56.7,59.4,0.869,71,20,65,20,61,35,,36.2,→,5,"[55.7, 44.4, 40.4, 29.5, 42.3]",36.1,→,10,80,2.96,1ère Ligne,1L,87,Haute,False,Moyenne,False,125,21.0,,,,,,,,,,,,0.0
lnr_2195,2195,anthime-hemery,https://cdn.lnr.fr/joueur/2195-anthime-hemery/photo/photoFull.b5e9990d9a31ede8327da9bafe6aeb896ea144f3,Anthime Hemery,Clermont,CLR,BACK_ROW,3ème ligne,2025-2026,14,598.0,42.7,1,0,0,11.91,,,0.54,,,,0.27,0.54,,,0.67,0.13,,,,,lnr,25.0,189.0,110.0,France,3.6,12.0,96.42857142857143,84.61538461538461,73.1,72.2,0.998,49,60,30,49,53,93,,49.0,↗,5,"[40.1, 39.8, 39.3, 70.5, 57.4]",53.2,↗,10,80,1.26,3ème Ligne,3L,100,Haute,False,Moyenne,False,25,73.9,,,,,,,,,,,,0.0
